satir,durum,skor,eski_kaynak,eski_bolum,yeni_kaynak,yeni_bolum,dipnot_no,dipnot_ref,csv_tarih,hutbe,metin_kaynagi,esleme,alinti
386,cilt_temizlendi,1.0,Ahmed b. Hanbel,II,Ahmed b. Hanbel,,10,"Ahmed b. Hanbel, II, 400.",13.12.2013,13.12.2013 DÜNYADA YOLCU OLABİLMEK!,metinler,baslik_eslesti,"Mümin, kendisiyle dostluk kurulabilen kişidir. İnsanlarla dost olmayan ve kendisiyle dostluk kurulamayanda hayır yoktur."
387,cilt_temizlendi,1.0,Ahmed b. Hanbel,II,Ahmed b. Hanbel,,4,"Ahmed b. Hanbel, II, 312.",04.04.2014,04.04.2014 DOĞRULUK VE SADAKA,metinler,baslik_eslesti,Güzel söz sadakadır.
388,cilt_temizlendi,1.0,Ahmed b. Hanbel,II,Ahmed b. Hanbel,,8,"Ahmed b. Hanbel, II, 42, 154.",04.04.2014,04.04.2014 DOĞRULUK VE SADAKA,metinler,baslik_eslesti,Yolunu kaybedene yol göstermeniz sadakadır.
389,cilt_temizlendi,1.0,Ahmed b. Hanbel,II,Ahmed b. Hanbel,,10,"Ahmed b. Hanbel, II, 316, 350.",04.04.2014,04.04.2014 DOĞRULUK VE SADAKA,metinler,baslik_eslesti,Bir kimsenin yükünü yüklemesi için yardımcı olman sadakadır.
390,kirpilmis_duzeltildi,1.0,Beyhakî,Şüabü’l-,Beyhakî,Şüabü’l-îmân,2,"Beyhakî, Şüabü’l-îmân, 4/334.",20.08.2021,20.08.2021 MÜSLÜMAN İŞİNİ SAĞLAM VE GÜZEL YAPAR,metinler,baslik_eslesti,"Allah Teâlâ, birinizin yaptığı işi en iyi şekilde yapmasından memnun kalır."
391,kirpilmis_duzeltildi,1.0,Beyhakî,Şüabü’l-,Beyhakî,Şüabü’l-îmân,2,"Beyhakî, Şüabü’l-îmân, 4/334.",28.04.2023,28.04.2023 İŞ AHLAKI: TOPLUMSAL HUZURUN KAYNAĞI,metinler,baslik_eslesti,"Allah Teâlâ, birinizin yaptığı işi en güzel şekilde yapmasından memnun kalır."
392,kirpilmis_duzeltildi,1.0,Beyhakî,Şüabü’l-,Beyhakî,Şüabü’l-îmân,1,"Beyhakî, Şüabü’l-îmân, 4/334.",10.11.2023,10.11.2023 AZİM VE GAYRET SAHİBİ BİR MÜMİN OLABİLME,metinler,baslik_eslesti,"Allah Teâlâ, sizden birinin yaptığı işi en güzel şekilde yapmasından memnun kalır."
393,kirpilmis_duzeltildi,1.0,Beyhakî,Şüabü’l-,Beyhakî,Şüabü’l-îmân,2,"Beyhakî, Şüabü’l-îmân, 4/334.",26.04.2024,26.04.2024 HER İŞİN BİR AHLAKI VARDIR,metinler,baslik_eslesti,"Allah Teâlâ, işinizi en güzel şekilde yapmanızdan hoşnut olur."
394,kirpilmis_duzeltildi,1.0,Buhârî,Cen,Buhârî,Cenâiz,1,"Buhârî, Cenâiz, 31.",12.12.2014,"12.12.2014 MUSİBETLER KARŞISINDA SABIR, MÜMİNCE BİR",metinler,baslik_eslesti,"Sabır, musibet ilk başa geldiği anda ortaya konulan tavırdır."
395,kirpilmis_duzeltildi,1.0,Buhârî,Cen,Buhârî,Cenâiz,2,"Buhârî, Cenâiz, 43.",12.12.2014,"12.12.2014 MUSİBETLER KARŞISINDA SABIR, MÜMİNCE BİR",metinler,baslik_eslesti,"Akan bu gözyaşları merhamettendir. Göz ağlar, kalp hüzünlenir. Ama biz ancak Rabbimizin razı olacağı şeyleri söyleriz."
396,kirpilmis_duzeltildi,1.0,Buhârî,Cen,Buhârî,Cenâiz,1,"Buhârî, Cenâiz,31.",22.11.2019,22.11.2019 MUSİBETLER KARŞISINDA MÜMİNİN TAVRI,metinler,baslik_eslesti,"Gerçek sabır, musibetin geldiği ilk anda gösterilen sabırdır."
397,kirpilmis_duzeltildi,1.0,Buhârî,Cen,Buhârî,Cenâiz,3,"Buhârî, Cenâiz, 36; Müslim, Zekât, 48.",12.09.2025,12.09.2025 PEYGAMBERİMİZ VE AİLE AHLAKI,metinler,baslik_eslesti,Allah rızasını umarak ailene yaptığın her harcamadan muhakkak sevap alırsın.
398,kirpilmis_duzeltildi,1.0,Buhârî,Lib,Buhârî,Libâs,6,"Buhârî, Libâs, 1; Nesâî, Zekât, 66.",25.01.2013,25.01.2013 ALLAH’IN SEVMEDİĞİ DAVRANIŞ: İSRAF,metinler,baslik_eslesti,"Kibirsizce ve israfa kaçmadan yiyiniz, içiniz, giyininiz ve sadaka veriniz."
399,kirpilmis_duzeltildi,1.0,Buhârî,Lib,Buhârî,Libâs,3,"Buhârî, Libâs, 43.",15.07.2016,15.07.2016 HAYATIMIZI İBADET KILABİLMEK,metinler,baslik_eslesti,"Allah katında amellerin en sevimlisi, az da olsa devamlı olanıdır."
400,kirpilmis_duzeltildi,1.0,Buhârî,Lib,Buhârî,Libâs,3,"Buhârî, Libâs, 1; Nesâî, Zekât, 66.",09.02.2018,"09.02.2018 İSRAF, DİNÎ VE AHLAKÎ BİR İFLASTIR",metinler,baslik_eslesti,"Kibre kapılmadan ve israfa kaçmadan yiyiniz, içiniz, giyininiz ve sadaka veriniz."
401,kirpilmis_duzeltildi,1.0,Buhârî,Lib,Buhârî,Libâs,3,"Buhârî, Libâs, 1; Nesâî, Zekât, 66.",08.06.2018,"08.06.2018 AFİYET OLSUN, İSRAF OLMASIN",metinler,baslik_eslesti,"İsrafa kaçmadan ve kibre kapılmadan yiyiniz, içiniz, giyininiz ve sadaka veriniz."
402,kirpilmis_duzeltildi,1.0,Buhârî,Mez,Buhârî,Mezâlim,2,"Buhârî, Mezâlim, 3; Müslim, Birr, 58; Tirmizî, Birr, 18.",25.11.2011,"25.11.2011 EŞİMİZ, EVLADIMIZ, ANNEMİZ: KADIN",metinler,baslik_eslesti,"Müslüman müslümanın kardeşidir. Ona zulmetmez, ihanet etmez, yalan söylemez ve onu sıkıntıda bırakmaz. Müslümanın kanı (canı), namusu ve malı dokunulmazdır, saygındır…"
403,kirpilmis_duzeltildi,1.0,Buhârî,Mez,Buhârî,Mezâlim,9,"Buhârî, Mezâlim, 34.",04.04.2014,04.04.2014 DOĞRULUK VE SADAKA,metinler,baslik_eslesti,Yolda insanlara eziyet veren bir şeyi kaldırıp atman sadakadır.
404,kirpilmis_duzeltildi,1.0,Buhârî,Mez,Buhârî,Mezâlim,2,"Buhârî, Mezâlim, 8.",21.05.2021,21.05.2021 ZULÜM CEZASIZ KALMAZ,metinler,baslik_eslesti,"Zulüm, zalim için kıyamet gününde zifiri karanlık olacaktır."
405,kirpilmis_duzeltildi,1.0,Buhârî,Mez,Buhârî,Mezâlim,5,"Buhârî, Mezâlim, 8.",20.10.2023,20.10.2023 RAHMET VE SEKİNET MÜJDESİ: İNŞİRÂH SURES,metinler,baslik_eslesti,"Zulüm, zalim için kıyamet gününde zifiri karanlıktır."
406,dogru,1.0,Buhârî,Savm,Buhârî,Savm,5,"Buhârî, Savm, 5; Müslim, Sıyâm, 1.",20.07.2012,20.07.2012 “BEN ORUÇLUYUM” DİYEBİLMEK,metinler,baslik_eslesti,"…cennet kapıları açılır, cehennem kapıları kapanır, şeytanlar da zincire vurulur."
407,dogru,1.0,Buhârî,Savm,Buhârî,Savm,1,"Buhârî, Savm, 51.",12.10.2018,"12.10.2018 CENÂB-I HAK, HER HAK SAHİBİNE HAKKINI VE",metinler,baslik_eslesti,Selmân doğru söylemiş
408,dogru,1.0,Buhârî,Savm,Buhârî,Savm,2,"Buhârî, Savm, 2.",22.05.2020,22.05.2020 BİR ÖMRÜ RAMAZAN GİBİ YAŞAMAK,metinler,baslik_eslesti,Ben oruçluyum
409,dogru,1.0,Buhârî,Savm,Buhârî,Savm,4,"Buhârî, Savm, 20.",28.02.2025,28.02.2025 RAHMET VE MAĞFİRET MEVSİMİNE GİRERKEN,metinler,baslik_eslesti,Sahurda bereket vardır.
410,kirpilmis_duzeltildi,1.0,Buhârî,Tevh,Buhârî,Tevhîd,2,"Buhârî, Tevhîd, 31.",21.03.2014,21.03.2014 İMTİHAN DÜNYASI,metinler,baslik_eslesti,"Mümin, taze ekine benzer. Rüzgâr hangi taraftan eserse onu o tarafa yatırır (fakat yıkılmaz). Rüzgâr sakinleştiğinde yine doğrulur. İşte mümin böyledir; o belâ ve musibetler sebebiyle eğilir (fakat yıkılmaz)…"
411,kirpilmis_duzeltildi,1.0,Buhârî,Tevh,Buhârî,Tevhîd,5,"Buhârî, Tevhîd, 15.",07.08.2015,07.08.2015 KULLUĞUN ÖZÜ: İHSAN,metinler,baslik_eslesti,"… Beni andığı müddetçe ben kulumla beraberim. O beni kendi başına anarsa, ben de onu kendim anarım. O beni bir topluluk içinde anarsa, ben onu daha hayırlı bir topluluk içinde anarım… Kulum bana yürüyerek gelirse, ben ona koşarak gelirim!"
412,kirpilmis_duzeltildi,0.984,Buhârî,Tevh,Buhârî,Tevhîd,5,"Buhârî, Tevhîd, 15; Müslim, Zikir, 21.",14.02.2020,14.02.2020 ALLAH İLE KUL ARASINDAKİ BAĞ,metinler,baslik_eslesti,"Ben, kulumun benim hakkımdaki zannı ne ise öyleyim. Beni andığında onunla beraberim. O beni kendi başına anarsa, ben de onu kendi başıma anarım. O beni bir topluluk içinde anarsa, ben de onu o topluluktan daha hayırlı bir topluluk içinde anarım. O bana bir karış yaklaşırsa, ben ona bir arşın yaklaşırım. O bana bir arşın yaklaşırsa, ben ona bir kulaç yaklaşırım. O bana yürüyerek gelirse, ben ona ko"
413,kirpilmis_duzeltildi,1.0,Buhârî,Tevh,Buhârî,Tevhîd,2,"Buhârî, Tevhîd, 48.",19.03.2021,"19.03.2021 ANNE-BABA RIZASI, RABBİMİZİN RIZASINA VE",metinler,baslik_eslesti,Vaktinde kılınan namaz ve anne-babaya iyilik etmektir. Sonra da Allah yolunda cihat etmek gelir.
414,dogru,1.0,Buhârî,Tevhid,Buhârî,Tevhid,7,"Buhari, Tevhid, 2",15.04.2011,15.04.2011 MERHAMET EĞİTİMİ,metinler,baslik_eslesti,İnsanlara merhamet etmeyene Allah da merhamet etmez.
415,dogru,1.0,Buhârî,Tevhid,Buhârî,Tevhid,5,"Buhârî, Tevhid, 22.",16.10.2015,16.10.2015 MERHAMET İKSİRİNİ YUDUMLAYABİLMEK,metinler,baslik_eslesti,Rahmetim gazabımı geçti.
416,dogru,1.0,Buhârî,Tevhid,Buhârî,Tevhid,5,"Buhârî, Tevhid, 15.",29.01.2016,29.01.2016 EN GÜZEL İSİMLER O’NUNDUR,metinler,baslik_eslesti,"Kulum beni zikrederken onunla beraberim. O beni kendi başına zikrederse, ben de onu kendim zikrederim. O beni bir topluluk içinde anarsa, ben onu o topluluktan daha hayırlı bir topluluk içinde anarım."
417,dogru,1.0,Buhârî,Tevhid,Buhârî,Tevhid,1,"Buhari, Tevhid, 28.",25.10.2019,25.10.2019 DUALARIMIZ MEHMETÇİĞİMİZ İÇİN,metinler,baslik_eslesti,"Allah, sadece kendi yolunda cihad etmek ve kelime-i tevhidi doğrulamak üzere sefere çıkan kimseyi cennete sokmaya veya çıktığı evine sevap ve ganimet ile döndürmeye kefil olmuştur."
418,dogru,1.0,Buhârî,İman,Buhârî,İman,3,"Buhari, İman, 4-5; Müslim, İman, 64; Ebu Davud, Cihad, 2; Tirmizi, Kıyame, 52.",25.11.2011,"25.11.2011 EŞİMİZ, EVLADIMIZ, ANNEMİZ: KADIN",metinler,baslik_eslesti,"Müslüman, Müslümanın elinden ve dilinden güvende olduğu kimsedir."
419,dogru,1.0,Buhârî,İman,Buhârî,İman,2,"Buhari, İman, 7.",19.08.2012,19.08.2012 RAMAZAN BAYRAMI,metinler,baslik_eslesti,"Kendiniz için istediğinizi mümin kardeşiniz için istemedikçe, gerçekten iman etmiş olamazsınız."
420,dogru,1.0,Buhârî,İman,Buhârî,İman,3,"Buhârî, İman, 7.",27.11.2015,27.11.2015 İMANI HAYAT KILABİLMEK,metinler,baslik_eslesti,Kendiniz için istediğinizi kardeşiniz için de istemedikçe kâmil manada iman etmiş olamazsınız.
421,dogru,1.0,Buhârî,İman,Buhârî,İman,3,"Buhârî, İman, 39.",04.12.2015,04.12.2015 BEDEN ÜLKESİNİN SULTANI: KALP,metinler,baslik_eslesti,"Dikkat edin! Vücutta öyle bir et parçası vardır ki o iyi olursa bütün vücut iyi olur. O bozulursa bütün vücut bozulur. Dikkat edin! O, kalptir."
422,kirpilmis_duzeltildi,1.0,Müslim,Tah,Müslim,Tahâret,2,"Müslim, Tahâret, 1.",06.03.2020,"06.03.2020 ALLAH TEMİZDİR, TEMİZLİĞİ SEVER",metinler,baslik_eslesti,Temizlik imanın yarısıdır.
423,kirpilmis_duzeltildi,1.0,Müslim,Tah,Müslim,Tahâret,2,"Müslim, Tahâret, 1.",04.09.2020,"04.09.2020 İSLAM, TEMİZLİĞİ EMREDER",metinler,baslik_eslesti,"Temizlik, imanın yarısıdır."
424,kirpilmis_duzeltildi,1.0,Müslim,Tah,Müslim,Tahâret,3,"Müslim, Tahâret, 33.",13.11.2020,"13.11.2020 ABDEST: BEDENİMİZE SAĞLIK, RUHUMUZA HUZU",metinler,baslik_eslesti,"Her kim abdest alır ve abdestini güzelce almaya özen gösterirse, günahları vücudundan çıkar, hatta tırnaklarının altından süzülür gider."
425,kirpilmis_duzeltildi,1.0,Müslim,Tah,Müslim,Tahâret,3,"Müslim, Tahâret, 1.",09.07.2022,09.07.2022 KURBAN BAYRAMI: ALLAH’A YAKLAŞMA SEVİNCİ,metinler,baslik_eslesti,Temizlik imanın yarısıdır
426,dogru,1.0,Müslim,Zikir,Müslim,Zikir,2,"Müslim, Zikir, 38.",05.02.2016,05.02.2016 ŞİMDİ YARALARI SARMA ZAMANI!,metinler,baslik_eslesti,"Kişi, kardeşine yardım ettiği sürece Allah da ona yardım eder..."
427,dogru,1.0,Müslim,Zikir,Müslim,Zikir,2,"Müslim, Zikir, 38.",09.12.2016,09.12.2016 HALEP’TE İNSANLIK ÖLMESİN!,metinler,baslik_eslesti,"Kişi, kardeşine yardım ettiği sürece Allah da ona yardım eder..."
428,dogru,1.0,Müslim,Zikir,Müslim,Zikir,4,"Müslim, Zikir, 70.",09.02.2018,"09.02.2018 İSRAF, DİNÎ VE AHLAKÎ BİR İFLASTIR",metinler,baslik_eslesti,"Rabbimiz! Bütün işlerimizdeki israfımızı, ölçüsüzlüğümüzü, cahilliğimizi, hatalarımızı ve bizden daha iyi bildiğin her türlü kusurumuzu bağışla! Ya Rabbi! Ciddi ve şaka yollu yaptığımız yanlışlarımızı, bilerek ya da bilmeyerek işlediğimiz günahlarımızı affeyle!"
429,dogru,1.0,Müslim,Zikir,Müslim,Zikir,5,"Müslim, Zikir, 75.",10.01.2020,10.01.2020 PEYGAMBERİMİZİN DİLİNDEN DUALAR,metinler,baslik_eslesti,Ya Rabbi! Bu gecede olanların ve sonrasında olacakların hayrını senden dilerim. Bu gecede olanların ve daha sonrasında olacakların şerrinden de sana sığınırım.
430,kirpilmis_duzeltildi,1.0,Tirmizî,Büy,Tirmizî,Büyû’,3,"Tirmizî, Büyû’, 4.",17.09.2021,17.09.2021 TİCARET HAYATINDA HELAL HARAM BİLİNCİ,metinler,baslik_eslesti,"Dürüst ve güvenilir tüccar, peygamberler, sıddîklar ve şehitlerle beraberdir."
431,kirpilmis_duzeltildi,1.0,Tirmizî,Büy,Tirmizî,Büyû’,2,"Tirmizî, Büyû’, 4.",23.09.2022,23.09.2022 HELAL KAZANÇ VE ALIN TERİ,metinler,baslik_eslesti,"Dürüst ve güvenilir tüccar, peygamberler, sıddîklar ve şehitlerle beraberdir."
432,kirpilmis_duzeltildi,1.0,Tirmizî,Büy,Tirmizî,Büyû’,4,"Tirmizî, Büyû’, 4.",15.09.2023,15.09.2023 AHÎLİK: DÜRÜSTLÜK VE MERHAMETİ TİCARETE ,metinler,baslik_eslesti,"Dürüst ve güvenilir tüccar, ahirette peygamberler, sıddıklar ve şehitlerle beraber olacaktır."
433,kirpilmis_duzeltildi,1.0,Tirmizî,Büy,Tirmizî,Büyû’,6,"Tirmizî, Büyû’, 4.",19.09.2025,19.09.2025 PEYGAMBERİMİZ (S.A.S) VE TİCARET AHLAKI,metinler,baslik_eslesti,"Dürüst ve güvenilir tüccar, mahşerde peygamberler, sıddîklar ve şehitlerle beraberdir."
434,dogru,1.0,Tirmizî,Cum’a,Tirmizî,Cum’a,1,"Tirmizî, Cum’a, 79.",12.07.2013,12.07.2013 HELAL KAZANÇ HELAL LOKMA,metinler,baslik_eslesti,Haram lokma ile beslenip büyüyen bir insan ateşe daha layıktır
435,dogru,1.0,Tirmizî,Cum’a,Tirmizî,Cum’a,4,"Tirmizî, Cum’a, 79.",23.09.2022,23.09.2022 HELAL KAZANÇ VE ALIN TERİ,metinler,baslik_eslesti,Haramla beslenen vücudun layık olduğu yer ancak cehennemdir.
436,dogru,1.0,Tirmizî,Cum’a,Tirmizî,Cum’a,3,"Tirmizî, Cum’a, 79.",31.03.2023,31.03.2023 ZEKÂT: İSLAM’IN DAYANIŞMA KÖPRÜSÜ,metinler,baslik_eslesti,"Su, ateşi nasıl söndürüyorsa zekât da günahları öylece silip yok eder."
437,dogru,1.0,Tirmizî,Cum’a,Tirmizî,Cum’a,3,"Tirmizî, Cum’a, 79.",29.03.2024,29.03.2024 KARDEŞLİĞİMİZ ZEKÂTLA BEREKETLENSİN,metinler,baslik_eslesti,Suyun ateşi söndürdüğü gibi zekât da hata ve günahları silip yok etmektedir.
438,dogru,1.0,Tirmizî,Fiten,Tirmizî,Fiten,3,"Tirmizî, Fiten, 76.",21.11.2014,21.11.2014 HAYIR HAZİNELER DOLUSUDUR,metinler,baslik_eslesti,Hayırlınız kendisinden hayır umulan ve şerrinden emin olunandır. Şerliniz ise kendisinden hayır beklenmeyen ve şerrinden de emin olunmayandır.
439,dogru,1.0,Tirmizî,Fiten,Tirmizî,Fiten,2,"Tirmizî, Fiten, 76; Ahmed b. Hanbel, II, 268.",10.11.2017,10.11.2017 ÖRNEK İNSAN: MÜMİN,metinler,baslik_eslesti,"İyi olanınız, kendisinden herkesin hayır umduğu ve şerrinden emin olduğu kimsedir. Kötü olanınız ise kendisinden hiç kimsenin hayır ummadığı ve şerrinden emin olmadığı kimsedir."
440,dogru,1.0,Tirmizî,Fiten,Tirmizî,Fiten,2,"Tirmizî, Fiten, 76; İbn Hanbel, II, 368.",11.10.2024,11.10.2024 KÖTÜLÜĞE İYİLİKLE ENGEL OLALIM,metinler,baslik_eslesti,"Hayırlınız, kendisinden iyilik beklenilen ve kötülüğünden emin olunandır. Şerliniz ise kendisinden iyilik beklenilmeyen ve kötülüğünden de emin olunmayandır."
441,dogru,1.0,Tirmizî,Fiten,Tirmizî,Fiten,4,"Tirmizî, Fiten, 7.",02.05.2025,02.05.2025 NEFSİ VE NESLİ İFSAT EDEN BÜYÜK GÜNAH: Z,metinler,baslik_eslesti,"...Hiçbir erkek, mahremi olmayan bir kadınla yalnız başına kalmasın; zira yanlarındaki üçüncü kişi şeytan olur..."
442,kirpilmis_duzeltildi,1.0,Tirmizî,Tah,Tirmizî,Tahâret,11,"Tirmizî, Tahâret, 1.",09.10.2015,09.10.2015 NAMAZ DİRİLİŞTİR,metinler,baslik_eslesti,cennetin anahtarı
443,kirpilmis_duzeltildi,1.0,Tirmizî,Tah,Tirmizî,Tahâret,2,"Tirmizî, Tahâret, 1.",13.12.2019,13.12.2019 NAMAZ: RABBİMİZE YAKIN OLMA ÇABAMIZ,metinler,baslik_eslesti,Cennetin anahtarı namazdır.
444,kirpilmis_duzeltildi,1.0,Tirmizî,Tah,Tirmizî,Tahâret,2,"Tirmizî, Tahâret, 1.",13.11.2020,"13.11.2020 ABDEST: BEDENİMİZE SAĞLIK, RUHUMUZA HUZU",metinler,baslik_eslesti,"Cennetin anahtarı namaz, namazın anahtarı ise abdesttir."
445,kirpilmis_duzeltildi,1.0,Tirmizî,Tah,Tirmizî,Tahâret,3,"Tirmizî, Tahâret, 1.",09.12.2022,09.12.2022 HAYDİ NAMAZA! HAYDİ KURTULUŞA!,metinler,baslik_eslesti,"Namaz, cennetin anahtarıdır."
446,dogru,1.0,İbn Mâce,Edeb,İbn Mâce,Edeb,2,"İbn Mâce, Edeb, 6.",29.03.2013,29.03.2013 SOKAĞIN YETİMLERİ: ÇOCUKLARIMIZ,metinler,baslik_eslesti,"Müslümanlar arasında en hayırlı ev, içinde kendisine iyi davranılan bir yetimin bulunduğu evdir. Müslümanlar arasında en kötü ev ise içinde kendisine kötü davranılan bir yetimin bulunduğu evdir."
447,dogru,1.0,İbn Mâce,Edeb,İbn Mâce,Edeb,5,"İbn Mâce, Edeb, 6.",11.07.2014,11.07.2014 KİMSESİZLERİN KİMSESİ OLABİLMEK,metinler,baslik_eslesti,"Evlerin en hayırlısı, içinde kendisine iyi bakılan bir yetimin bulunduğu evdir. Evlerin en kötüsü ise kendisine iyi davranılmayan bir yetimin bulunduğu evdir."
448,dogru,1.0,İbn Mâce,Edeb,İbn Mâce,Edeb,2,"İbn Mâce, Edeb, 6.",23.04.2021,23.04.2021 YETİM: CENÂB-I HAKK’IN İNSANLIĞA EMANETİ,metinler,baslik_eslesti,"Müslümanların evleri arasında en hayırlı ev, içinde kendisine iyi davranılan bir yetimin bulunduğu evdir."
449,dogru,1.0,İbn Mâce,Edeb,İbn Mâce,Edeb,3,"İbn Mâce, Edeb, 6.",22.03.2024,22.03.2024 RAMAZAN VE AHİRET BİLİNCİ,metinler,baslik_eslesti,"Müslümanların evleri arasında en hayırlısı, içinde kendisine iyi davranılan bir yetimin bulunduğu evdir…"
450,kirpilmis_duzeltildi,1.0,İbn Mâce,Rüh,İbn Mâce,Rühûn,2,"İbn Mace, Rühûn, 4.",26.09.2014,26.09.2014 İŞ VE TİCARET AHLAKI-ÂHİLİK,metinler,baslik_eslesti,"Çalışana ücretini, teri kurumadan önce veriniz."
451,kirpilmis_duzeltildi,1.0,İbn Mâce,Rüh,İbn Mâce,Rühûn,1,"İbn Mâce, Rühûn, 4.",13.05.2022,13.05.2022 İŞ VE ÇALIŞMA AHLAKI,metinler,baslik_eslesti,"Çalışana ücretini, alın teri kurumadan önce veriniz."
452,kirpilmis_duzeltildi,1.0,İbn Mâce,Rüh,İbn Mâce,Rühûn,3,"İbn Mâce, Rühûn, 4.",26.04.2024,26.04.2024 HER İŞİN BİR AHLAKI VARDIR,metinler,baslik_eslesti,"İşçiye, ücretini teri kurumadan önce verin."
453,kirpilmis_duzeltildi,1.0,İbn Mâce,Rüh,İbn Mâce,Rühûn,3,"İbn Mâce, Rühûn, 4.",25.04.2025,25.04.2025 ALIN TERİ MUKADDESTİR,metinler,baslik_eslesti,"Çalışana ücretini, teri kurumadan verin."
454,kirpilmis_duzeltildi,1.0,Buhârî,Cih,Buhârî,Cihâd,17,"Buhârî, Cihâd, 62.",04.04.2014,04.04.2014 DOĞRULUK VE SADAKA,metinler,baslik_eslesti,Namaza attığınız her adım sadakadır.
455,kirpilmis_duzeltildi,1.0,Buhârî,Cih,Buhârî,Cihâd,2,"Buhârî, Cihâd, 21.",18.03.2022,18.03.2022 ÇANAKKALE ZAFERİ: BİR MİLLETİN YENİDEN D,metinler,baslik_eslesti,"Cennete giren hiçbir kimse, yeryüzündeki her şey kendisinin olsa bile dünyaya geri dönmeyi arzu etmez. Sadece şehit, gördüğü itibar ve ikram sebebiyle tekrar dünyaya dönmeyi ve onlarca kez yeniden şehit olmayı ister."
456,kirpilmis_duzeltildi,1.0,Buhârî,Cih,Buhârî,Cihâd,4,"Buhârî, Cihâd, 128.",07.02.2025,"07.02.2025 DİL, İNSANIN YA CENNETİ YA DA CEHENNEMİD",metinler,baslik_eslesti,Güzel söz sadakadır.
457,kirpilmis_duzeltildi,1.0,Buhârî,Enbiy,Buhârî,Enbiyâ,2,"Buhârî, Enbiyâ, 48.",30.10.2015,"30.10.2015 PEYGAMBERLER, İNSANLIĞIN YOLUNU AYDINLAT",metinler,baslik_eslesti,"Peygamberler, anneleri ayrı, babaları bir kardeşlerdir; dinleri de birdir."
458,kirpilmis_duzeltildi,1.0,Buhârî,Enbiy,Buhârî,Enbiyâ,2,"Buhari, Enbiyâ, 48.",19.02.2016,19.02.2016 PEYGAMBERLER ALLAH’IN KUTLU ELÇİLERİDİR,metinler,baslik_eslesti,"Peygamberler, ataları bir kardeşlerdir."
459,kirpilmis_duzeltildi,1.0,Buhârî,Enbiy,Buhârî,Enbiyâ,3,"Buhârî, Enbiyâ, 50.",20.12.2024,20.12.2024 MİLLİ VE MANEVİ DEĞERLERİMİZİ MUHAFAZA E,metinler,baslik_eslesti,"İçinizden öyleleri olacak ki, önceki kavimlerin âdetlerini karış karış, arşın arşın takip edecekler. Hatta onlar bir kertenkele deliğine girseler bile peşlerinden oraya girecekler."
460,kirpilmis_duzeltildi,1.0,Buhârî,Meg,Buhârî,Megâzî,1,"Buhârî, Megâzî, 49.",18.12.2015,18.12.2015 RAHMET VE MERHAMET YÜKLÜ ADALET PEYGAMBE,metinler,baslik_eslesti,"Gün, merhamet günüdür. Gün, kan akıtmanın haram olduğu gündür…"
461,kirpilmis_duzeltildi,1.0,Buhârî,Meg,Buhârî,Megâzî,2,"Buhârî, Megâzî, 61.",24.06.2016,24.06.2016 ARINMA VESİLESİ: ZEKÂT VE İNFAK,metinler,baslik_eslesti,"Kolaylaştırın, zorlaştırmayın! Müjdeleyin, nefret ettirmeyin!"
462,kirpilmis_duzeltildi,1.0,Buhârî,Meg,Buhârî,Megâzî,2,"Buhârî, Megâzî, 82.",03.06.2022,03.06.2022 ÇEVREYE VEFA MÜMİNİN ŞİARIDIR,metinler,baslik_eslesti,"Uhud bizi sever, biz de onu severiz."
463,kirpilmis_duzeltildi,1.0,Ebû Dâvûd,Lib,Ebû Dâvûd,Libâs,5,"Ebû Dâvûd, Libâs, 14.",19.10.2018,19.10.2018 MADDİ VE MANEVİ ARINMA: TEMİZLİK,metinler,baslik_eslesti,Bu adam elbisesini yıkayacak bir şey bulamamış mı?
464,kirpilmis_duzeltildi,1.0,Ebû Dâvûd,Lib,Ebû Dâvûd,Libâs,2,"Ebû Dâvûd, Libâs, 4.",23.12.2022,23.12.2022 BİZİ BİZ YAPAN DEĞERLERE SAHİP ÇIKALIM,metinler,baslik_eslesti,Kim bir kavme benzerse o da onlardandır.
465,kirpilmis_duzeltildi,1.0,Ebû Dâvûd,Lib,Ebû Dâvûd,Libâs,2,"Ebû Dâvûd, Libâs, 4.",20.12.2024,20.12.2024 MİLLİ VE MANEVİ DEĞERLERİMİZİ MUHAFAZA E,metinler,baslik_eslesti,Kim bir kavme benzerse o da onlardandır.
466,kirpilmis_duzeltildi,1.0,Ebû Dâvûd,Sal,Ebû Dâvûd,Salât,9,"Ebû Dâvûd, Salât, 26.",09.12.2022,09.12.2022 HAYDİ NAMAZA! HAYDİ KURTULUŞA!,metinler,baslik_eslesti,Yedi yaşına geldiklerinde çocuklarınızı namaza alıştırın.
467,kirpilmis_duzeltildi,1.0,Ebû Dâvûd,Sal,Ebû Dâvûd,Salât,5,"Ebû Dâvûd, Salât, 26.",12.04.2024,12.04.2024 GÖZÜMÜZÜN NURU: NAMAZ,metinler,baslik_eslesti,Yedi yaşına geldiklerinde çocuklarınızı namaza alıştırın.
468,kirpilmis_duzeltildi,1.0,Ebû Dâvûd,Sal,Ebû Dâvûd,Salât,6,"Ebû Dâvûd, Salât, 26.",20.06.2025,"20.06.2025 HER YAZ YENİ BİR HEYECAN: CAMİ, ÇOCUK VE",metinler,baslik_eslesti,Yedi yaşına geldiklerinde çocuklarınızı namaza alıştırın.
